#,PR,PR_Link,Main_Category,Subcategory,Evidence,Explanation,Label,Status
71,rewrite-docker/pull/21,https://github.com/openrewrite/rewrite-docker/pull/21,QUALITY ; QUALITY,Coding convention ; Design pattern,"Not sure this is appropriately named. | Calling out this modeling choice for review scrutiny: Not crazy about the `/image:` we end up with, but also not sure there would be a better way to a","Reviewer questions whether a naming choice follows appropriate conventions or standards for the codebase. | Reviewer expresses concern about a design/modeling decision, specifically the `/image:` pattern, indicating uncertainty about the chosen design approach.",rejected,Rejected
72,podman-desktop/pull/15111,https://github.com/podman-desktop/podman-desktop/pull/15111,QUALITY ; QUALITY ; QUALITY ; QUALITY ; QUALITY,Design pattern ; Code smell ; Coding convention ; Code smell ; Coding convention,"hello, I think we should follow the builder pattern, meaning that it should only build/update things | question: are these exports used in this PR, or are they needed in a future PR? | suggestion(non-blocking): move this class to a dedicated file | question: is the string type required? I don't see usage beside the tests? | remark(blocking): this PR introduces a new `color-builder.ts` file but this new class `ColorBuilder`","Reviewer @benoitf is requesting adherence to the builder design pattern, ensuring the class follows proper builder pattern principles. | Reviewer @simonrey1 is questioning unnecessary exports, which indicates potential dead code or premature optimization. | Reviewer @simonrey1 suggests organizing code by moving the class to a separate file, which is a code organization and convention concern. | Reviewer @simonrey1 identifies potentially unused type definitions, suggesting unnecessary code complexity. | Reviewer @simonrey1 raises a blocking concern about naming or structure conventions related to the ColorBuilder class (comment appears truncated but indicates a structural/naming issue).",rejected,Rejected
73,pipelines-as-code/pull/2367,https://github.com/tektoncd/pipelines-as-code/pull/2367,MANAGEMENT,No review activity,"All comments are from @theakshaypant who appears to be the PR author responding to feedback or describing their own changes, not reviewer comments pro","All visible comments are from the PR author (@theakshaypant) describing changes they made (e.g., 'Added a helper function', 'Moved this logic', 'Added more test cases'). There are no substantive revie",rejected,Rejected
74,autobeat/pull/44,https://github.com/dean0x/autobeat/pull/44,QUALITY,Code smell,Handler not cleaned up on timeout. The `waitFor()` method subscribes a handler that is never unsubscribed if the tim,"Reviewer identifies a resource leak code smell where event handlers are not properly cleaned up in timeout scenarios, which can lead to memory leaks and degraded performance.",rejected,Rejected
75,mathlib4/pull/33364,https://github.com/leanprover-community/mathlib4/pull/33364,QUALITY ; INTEGRATION ; QUALITY ; OBJECTIVE ; QUALITY,Lack of documentation ; Configuration issue ; Design pattern ; Scope change ; Coding convention,"```suggestion
An abstract simplicial complex is a downwards-closed collection of nonempty finite sets,
``` | I unfortunately get an error message ""Modules starting with Mathlib.Analysis are not allowed to import modules starting with Mathlib.AlgebraicTopology | There is a bit of a design choice hidden here - do we want to also require that every singleton set is a face (i.e. every point is a vertex)? | They also form a complete lattice, right? Maybe if you are showing some things related to order already, it would make sense to also show that? | I think it would make sense to move this definition to its own file, e.g. `AlgebraicTopology.SimplicialComplex.Basic`.",Reviewer suggests improving documentation wording for clarity about what an abstract simplicial complex is. | Reviewer identifies a configuration/module dependency issue where Analysis modules cannot import AlgebraicTopology modules. | Reviewer raises a fundamental design question about whether the definition should enforce that singleton sets are faces. | Reviewer suggests expanding the scope to include proving that abstract simplicial complexes form a complete lattice. | Reviewer suggests reorganizing code structure by moving the definition to a more appropriate file location following project conventions.,rejected,Rejected
76,napi-rs/pull/3074,https://github.com/napi-rs/napi-rs/pull/3074,OBJECTIVE ; OBJECTIVE ; QUALITY,Bug fixing ; Potential side effect ; Lack of documentation,Fixed in 29bda00b - Added status check in else branch before mem::forget(data) | Fixed in 29bda00b - Added `copied_val = None` after reclaiming hint via Box::from_raw to prevent use-after-free | 🟡 **MEDIUM** - Missing Panics documentation on ArrayBuffer::from_data,"Reviewer identified missing status checks in fallback paths that could lead to incorrect pointer usage, which is a bug fix concern. | Reviewer identified a potential use-after-free issue, which is a critical side effect that needed to be addressed. | Bot reviewer identified missing documentation for panic conditions in the function.",rejected,Rejected
77,openclaw/pull/25817,https://github.com/openclaw/openclaw/pull/25817,OBJECTIVE,Bug fixing,"Good catch, fixed in eb3028d59. Both VoiceWakeRuntime and TalkModeRuntime had the same issue: audioEngine was created before the guard but not nilled","The reviewer identified a bug where audioEngine objects were created before guard conditions but not properly cleaned up (not nilled), which could cause issues when microphone is missing. This is a de",rejected,Rejected
78,erk/pull/8240,https://github.com/dagster-io/erk/pull/8240,QUALITY ; QUALITY ; QUALITY,Code smell ; Internal quality attribute ; Internal quality attribute,"Removed unused GitHubIssues import and github_issues parameter from __init__. Updated all callers in context.py and tests. | Restructured timing to compute deltas incrementally using a single t variable, keeping each delta computation close to the code it measures. | Narrowed to except RuntimeError — the specific exception raised by the subprocess/gh command layer for GitHub API failures.","Reviewer identified dead code (unused import and parameter) that should be removed to improve code cleanliness. | Reviewer suggested improving code structure and readability by reorganizing timing logic to be more maintainable and understandable. | Reviewer recommended improving exception handling specificity by catching a more precise exception type rather than a broad catch-all, enhancing code robustness and maintainability.",rejected,Rejected
79,picoclaw/pull/1960,https://github.com/sipeed/picoclaw/pull/1960,QUALITY ; QUALITY,Coding convention ; Lack of documentation,dont to change to chinese dns. It is an international project | Use English annotations,"Reviewer is enforcing a project convention that an international project should not use region-specific resources (Chinese DNS), which is a coding/project convention issue. | Reviewer is requesting that code annotations/comments be written in English rather than another language, addressing documentation quality and accessibility for an international project.",rejected,Rejected
80,spark/pull/50365,https://github.com/apache/spark/pull/50365,MANAGEMENT,No review activity,No independent reviewer comments found.,All comments were from the PR author or no human comments exist.,rejected,Rejected
81,jaysmobilewash/pull/30,https://github.com/jjmandog/jaysmobilewash/pull/30,MANAGEMENT,No review activity,No independent reviewer comments found.,All comments were from the PR author or no human comments exist.,rejected,Rejected
82,eval-demo/pull/4,https://github.com/kashyap-bhatt15/eval-demo/pull/4,MANAGEMENT,No review activity,No independent reviewer comments found.,All comments were from the PR author or no human comments exist.,rejected,Rejected
83,openmind/pull/664,https://github.com/ohhmm/openmind/pull/664,MANAGEMENT,No review activity,No independent reviewer comments found.,All comments were from the PR author or no human comments exist.,rejected,Rejected
84,mystats/pull/1,https://github.com/camdizzle/mystats/pull/1,MANAGEMENT,No review activity,No independent reviewer comments found.,All comments were from the PR author or no human comments exist.,rejected,Rejected
85,Fancy2048/pull/11,https://github.com/marcelolazzari/Fancy2048/pull/11,MANAGEMENT,No review activity,No independent reviewer comments found.,All comments were from the PR author or no human comments exist.,rejected,Rejected
86,ZombieExpress/pull/16,https://github.com/KurbyDoo/ZombieExpress/pull/16,MANAGEMENT,No review activity,No independent reviewer comments found.,All comments were from the PR author or no human comments exist.,rejected,Rejected
87,gh-aw/pull/5154,https://github.com/github/gh-aw/pull/5154,MANAGEMENT,No review activity,No independent reviewer comments found.,All comments were from the PR author or no human comments exist.,rejected,Rejected
88,pi_productivity/pull/78,https://github.com/alebmorais/pi_productivity/pull/78,MANAGEMENT,No review activity,No independent reviewer comments found.,All comments were from the PR author or no human comments exist.,rejected,Rejected
89,submit.diyaccounting.co.uk/pull/479,https://github.com/antonycc/submit.diyaccounting.co.uk/pull/479,MANAGEMENT,No review activity,No independent reviewer comments found.,All comments were from the PR author or no human comments exist.,rejected,Rejected
90,exposed-vertx-sql-client/pull/88,https://github.com/huanshankeji/exposed-vertx-sql-client/pull/88,MANAGEMENT,No review activity,No independent reviewer comments found.,All comments were from the PR author or no human comments exist.,rejected,Rejected
91,psychoanalyze/pull/145,https://github.com/psychoanalyze/psychoanalyze/pull/145,MANAGEMENT,No review activity,No independent reviewer comments found.,All comments were from the PR author or no human comments exist.,rejected,Rejected
92,Warehouse-Backend/pull/16,https://github.com/abdosaleh37/Warehouse-Backend/pull/16,MANAGEMENT,No review activity,No independent reviewer comments found.,All comments were from the PR author or no human comments exist.,rejected,Rejected
93,firecrawl/pull/2215,https://github.com/firecrawl/firecrawl/pull/2215,MANAGEMENT,No review activity,No independent reviewer comments found.,All comments were from the PR author or no human comments exist.,rejected,Rejected
94,LMS-Dashboard/pull/24,https://github.com/vineetmishra89/LMS-Dashboard/pull/24,MANAGEMENT,No review activity,No independent reviewer comments found.,All comments were from the PR author or no human comments exist.,rejected,Rejected
95,cal.diy/pull/24694,https://github.com/calcom/cal.diy/pull/24694,MANAGEMENT,No review activity,No independent reviewer comments found.,All comments were from the PR author or no human comments exist.,rejected,Rejected
